IP Address	Protocol	Port Number	Service	State	ID Method
192.168.4.29	tcp	135	msrpc	open	probed
192.168.4.29	tcp	139	netbios-ssn	open	probed
192.168.4.29	tcp	445	microsoft-ds	open	probed
192.168.4.29	tcp	49152	msrpc	open	probed
192.168.4.29	tcp	49153	msrpc	open	probed
192.168.4.29	tcp	49154	msrpc	open	probed
192.168.4.32	tcp	21	ftp	open	probed
192.168.4.32	tcp	22	ssh	open	probed
192.168.4.32	tcp	23	telnet	open	probed
192.168.4.32	tcp	25	smtp	open	probed
192.168.4.32	tcp	53	domain	open	probed
192.168.4.32	tcp	80	http	open	probed
192.168.4.32	tcp	111	rpcbind	open	probed
192.168.4.32	tcp	139	netbios-ssn	open	probed
192.168.4.32	tcp	445	netbios-ssn	open	probed
192.168.4.32	tcp	513	login	open	table
192.168.4.32	tcp	514	tcpwrapped	open	probed
192.168.4.32	tcp	2049	nfs	open	probed
192.168.4.32	tcp	2121	ftp	open	probed
192.168.4.32	tcp	3306	mysql	open	probed
192.168.4.32	tcp	5432	postgresql	open	probed
192.168.4.32	tcp	5900	vnc	open	probed
192.168.4.32	tcp	6000	X11	open	probed
192.168.4.32	tcp	8009	ajp13	open	probed
192.168.4.36	tcp	21	tcpwrapped	open	probed
192.168.4.36	tcp	80	http	open	probed
192.168.4.36	tcp	135	msrpc	open	probed
192.168.4.36	tcp	139	netbios-ssn	open	probed
192.168.4.36	tcp	445	microsoft-ds	open	probed
192.168.4.36	tcp	3306	mysql	open	probed
192.168.4.36	tcp	3389	ms-wbt-server	open	table
192.168.4.36	tcp	8009	ajp13	open	probed
192.168.4.36	tcp	8080	http	open	probed
192.168.4.36	tcp	49152	msrpc	open	probed
192.168.4.36	tcp	49153	msrpc	open	probed
192.168.4.36	tcp	49154	msrpc	open	probed
192.168.4.36	tcp	49155	msrpc	open	probed
192.168.4.36	tcp	49156	msrpc	open	probed
192.168.4.42	tcp	53	domain	open	probed
192.168.4.42	tcp	80	http	open	probed
192.168.4.42	tcp	88	kerberos-sec	open	probed
192.168.4.42	tcp	135	msrpc	open	probed
192.168.4.42	tcp	139	netbios-ssn	open	probed
192.168.4.42	tcp	389	ldap	open	probed
192.168.4.42	tcp	445	microsoft-ds	open	probed
192.168.4.42	tcp	49152	msrpc	open	probed
192.168.4.42	tcp	49153	msrpc	open	probed
192.168.4.42	tcp	49154	msrpc	open	probed
192.168.4.42	tcp	49156	msrpc	open	probed
192.168.4.42	tcp	49157	ncacn_http	open	probed
192.168.4.43	tcp	80	http	open	probed
192.168.4.43	tcp	135	msrpc	open	probed
192.168.4.43	tcp	139	netbios-ssn	open	probed
192.168.4.43	tcp	445	microsoft-ds	open	probed
192.168.4.43	tcp	49152	msrpc	open	probed
192.168.4.43	tcp	49153	msrpc	open	probed
192.168.4.43	tcp	49154	msrpc	open	probed
192.168.4.43	tcp	49155	msrpc	open	probed
192.168.4.43	tcp	49156	msrpc	open	probed
192.168.4.43	tcp	49157	msrpc	open	probed
192.168.4.45	tcp	25	smtp	open	probed
192.168.4.45	tcp	80	http	open	probed
192.168.4.45	tcp	135	msrpc	open	probed
192.168.4.45	tcp	139	netbios-ssn	open	probed
192.168.4.45	tcp	445	microsoft-ds	open	probed
192.168.4.45	tcp	1025	msrpc	open	probed
192.168.4.45	tcp	1028	msrpc	open	probed
192.168.4.45	tcp	1029	msrpc	open	probed
192.168.4.46	tcp	7	echo	open	probed
192.168.4.46	tcp	9	discard	open	table
192.168.4.46	tcp	13	daytime	open	probed
192.168.4.46	tcp	21	ftp	open	probed
192.168.4.46	tcp	25	smtp	open	probed
192.168.4.46	tcp	53	domain	open	probed
192.168.4.46	tcp	80	http	open	probed
192.168.4.46	tcp	135	msrpc	open	probed
192.168.4.46	tcp	139	netbios-ssn	open	probed
192.168.4.46	tcp	445	microsoft-ds	open	probed
192.168.4.46	tcp	515	printer	open	probed
192.168.4.46	tcp	1025	msrpc	open	probed
192.168.4.46	tcp	1026	msrpc	open	probed
192.168.4.46	tcp	1027	msrpc	open	probed
